source	target	is_directed	is_stimulation	is_inhibition	dip_url
7157	7226	1	0	1	NA
5311	26762	0	0	0	NA
91937	26762	1	1	0	NA
26762	64218	0	0	0	NA
6714	6709	1	1	0	NA
6714	5335	1	1	0	NA
5566	6714	1	1	0	NA
6714	2697	1	0	1	NA
6714	291	1	0	0	NA
5578	6714	1	1	0	NA
6714	301	1	1	0	NA
6714	1499	1	1	1	NA
6714	5310	1	1	0	NA
6714	2904	1	0	0	NA
6714	2902	1	0	0	NA
6714	5770	1	0	0	NA
5770	6714	1	1	0	NA
6714	10399	1	1	0	NA
6714	5587	1	1	0	NA
6714	5336	1	1	0	NA
6714	2017	1	1	1	NA
6714	1956	1	1	0	NA
6714	59341	1	1	0	NA
6714	2130	1	0	0	NA
6714	2911	1	0	0	NA
6714	857	1	1	1	NA
6714	408	1	0	1	NA
408	6714	1	1	0	NA
6714	775	1	1	0	NA
6714	7442	1	1	0	NA
6714	7222	1	1	0	NA
6714	387	1	0	1	NA
6714	5728	1	0	1	NA
6714	5580	1	1	0	NA
5580	6714	1	1	0	NA
6714	26271	1	1	0	NA
6714	4323	1	0	0	NA
6714	6778	1	0	0	NA
6714	7048	1	1	0	NA
5159	6714	1	1	0	NA
6714	1147	1	1	0	NA
6714	27	1	1	0	NA
5771	6714	1	0	1	NA
6714	84335	1	0	0	NA
6714	3265	1	1	1	NA
6714	2597	1	0	0	NA
6714	4000	1	0	0	NA
6714	3066	1	0	0	NA
6714	6004	1	1	0	NA
6714	3791	1	1	0	NA
6714	1027	1	0	1	NA
6714	8294	1	0	0	NA
6714	8359	1	0	0	NA
6714	8360	1	0	0	NA
6714	8361	1	0	0	NA
6714	8362	1	0	0	NA
6714	8363	1	0	0	NA
6714	8364	1	0	0	NA
6714	8365	1	0	0	NA
6714	8366	1	0	0	NA
6714	8367	1	0	0	NA
6714	8368	1	0	0	NA
6714	8370	1	0	0	NA
6714	121504	1	0	0	NA
6714	554313	1	0	0	NA
6714	596	1	0	0	NA
6714	4193	1	0	0	NA
6714	1969	1	0	1	NA
6714	5300	1	0	0	NA
6714	3815	1	1	0	NA
6714	3480	1	1	0	NA
6714	823	1	0	0	NA
2048	6714	1	1	0	NA
6714	6776	1	1	0	NA
7189	6714	1	0	0	NA
6714	64759	1	1	0	NA
8841	6714	0	0	0	NA
6714	2099	1	1	0	NA
6714	1500	1	1	0	NA
6714	5170	1	1	0	NA
6714	2934	1	1	0	NA
6714	207	1	1	0	NA
6714	51100	1	1	0	NA
6714	2023	1	1	0	NA
6714	1072	1	0	1	NA
6714	3667	1	0	0	NA
6714	2889	1	1	0	NA
6714	8517	1	0	0	NA
6714	5747	1	1	0	NA
5747	6714	1	1	0	NA
6714	5163	1	0	0	NA
6714	5777	1	1	0	NA
5777	6714	1	1	1	NA
6714	6772	1	1	0	NA
6772	6714	1	0	0	NA
6714	8871	1	0	0	NA
6714	5879	1	1	0	NA
6608	6714	1	1	0	NA
6714	2549	1	1	0	NA
6714	695	1	1	0	NA
6714	5290	1	1	0	NA
6714	2969	1	0	0	NA
6714	5914	1	0	0	NA
6714	2516	1	0	0	NA
3320	6714	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=830
6714	25	1	1	0	NA
6714	6464	1	1	0	NA
6464	6714	1	0	0	NA
6714	5829	1	1	0	NA
6714	7430	1	1	0	NA
6714	841	1	0	1	NA
6714	4792	1	1	0	NA
6714	984	1	0	0	NA
6714	3689	1	1	1	NA
6714	6256	1	1	0	NA
6714	6788	1	0	0	NA
6714	5295	1	0	0	NA
5295	6714	1	0	0	NA
6714	10018	1	0	0	NA
7421	6714	1	0	0	NA
6714	7039	1	1	0	NA
6714	7015	1	0	1	NA
6714	5894	1	1	0	NA
6714	1409	1	0	0	NA
6714	102724652	1	0	0	NA
6714	10811	1	1	0	NA
6714	2887	1	1	1	NA
6714	1410	1	0	0	NA
6714	4869	1	0	0	NA
6714	9564	1	1	0	NA
6714	367	1	1	0	NA
6714	867	1	1	0	NA
6714	4780	1	0	0	NA
6714	4893	1	1	0	NA
6714	624	1	1	0	NA
6714	5608	1	0	0	NA
6714	864	1	0	0	NA
6714	9475	1	0	0	NA
6714	4613	1	0	0	NA
6714	5359	1	1	0	NA
6714	5970	1	1	0	NA
6714	6197	1	1	0	NA
6714	5594	1	1	0	NA
6714	2004	1	0	0	NA
6714	5781	1	0	0	NA
5781	6714	1	1	0	NA
6714	2909	1	1	0	NA
6714	6237	1	1	1	NA
6714	5468	1	1	0	NA
6714	5584	1	1	0	NA
6714	5515	1	0	1	NA
5515	6714	1	0	1	NA
6714	3832	1	0	0	NA
6714	3190	1	1	1	NA
6714	998	1	1	0	NA
7132	6714	1	0	0	NA
7098	6714	1	0	0	NA
6714	7098	1	0	0	NA
6714	7161	1	0	0	NA
6714	5062	1	1	0	NA
6714	1612	1	0	1	NA
6714	3326	1	1	0	NA
6714	6774	1	1	0	NA
6714	23624	1	1	0	NA
6714	7074	1	1	0	NA
6714	369	1	1	0	NA
6714	4582	1	1	0	NA
6714	4843	1	1	0	NA
6714	1000	1	0	1	NA
7187	6714	1	0	0	NA
6714	6777	1	1	0	NA
6095	6714	1	0	0	NA
6714	3551	1	1	0	NA
6714	6383	1	0	1	NA
6714	1856	1	0	0	NA
6714	634	1	1	0	NA
6714	302	1	1	0	NA
6714	2212	1	1	0	NA
5791	6714	1	0	0	NA
868	6714	1	0	1	NA
9743	6714	1	1	0	NA
6714	5338	1	0	0	NA
7185	6714	1	0	0	NA
154	6714	1	0	0	NA
6714	154	1	0	0	NA
6714	53358	1	0	0	NA
6714	960	0	0	0	NA
1445	6714	1	1	1	NA
6714	10188	1	0	0	NA
6714	858	1	1	1	NA
6714	55704	1	0	0	NA
6714	2010	1	0	1	NA
6714	7410	1	1	0	NA
6714	5921	1	1	1	NA
6714	7205	1	1	0	NA
7205	6714	1	0	0	NA
6714	2268	1	0	0	NA
6714	6098	1	0	0	NA
6714	81848	1	0	0	NA
6714	396	1	0	1	NA
6714	55620	1	1	0	NA
6714	3636	1	1	0	NA
6714	156	1	1	0	NA
6714	51741	1	1	0	NA
6714	374	1	1	0	NA
6714	51729	1	0	0	NA
6714	6850	1	1	0	NA
6714	4179	1	0	0	NA
6714	5216	1	0	0	NA
6714	5757	1	0	0	NA
5156	6714	1	1	0	NA
6714	945	1	1	0	NA
6714	4478	1	0	0	NA
4919	6714	1	1	0	NA
6714	10253	1	1	1	NA
2263	6714	1	0	0	NA
6714	10211	1	0	0	NA
